_id,Año,Entidad,Población,Sexo,Edad,Cantidad,Totales,Porcentaje,Tasa
86,2020,NUEVO LEÓN,Población total,Total,5 a 9 años,463819,1654929,0.280265196,
87,2020,OAXACA,Población total,Total,5 a 9 años,388759,1372915,0.283163197,
88,2020,PUEBLA,Población total,Total,5 a 9 años,598550,2148335,0.27861111,
89,2020,QUERÉTARO,Población total,Total,5 a 9 años,196969,700525,0.281173406,
90,2020,QUINTANA ROO,Población total,Total,5 a 9 años,155388,543728,0.285782597,
91,2020,SAN LUIS POTOSÍ,Población total,Total,5 a 9 años,242727,879923,0.275850273,
92,2020,SINALOA,Población total,Total,5 a 9 años,250496,902580,0.277533293,
93,2020,SONORA,Población total,Total,5 a 9 años,246711,876174,0.281577632,
94,2020,TABASCO,Población total,Total,5 a 9 años,224058,781519,0.286695525,
95,2020,TAMAULIPAS,Población total,Total,5 a 9 años,294344,1046920,0.281152333,
96,2020,TLAXCALA,Población total,Total,5 a 9 años,117738,421140,0.279569739,
97,2020,VERACRUZ,Población total,Total,5 a 9 años,675182,2378935,0.283816918,
98,2020,YUCATÁN,Población total,Total,5 a 9 años,186122,666922,0.279076114,
99,2020,ZACATECAS,Población total,Total,5 a 9 años,155704,544684,0.28586116,
100,2020,NACIONAL,Población total,Total,10 a 14 años,10943540,38247958,0.286120896,
101,2020,AGUASCALIENTES,Población total,Total,10 a 14 años,129717,463335,0.279963741,
102,2020,BAJA CALIFORNIA,Población total,Total,10 a 14 años,312348,1061893,0.29414263,
103,2020,BAJA CALIFORNIA SUR,Población total,Total,10 a 14 años,67665,236629,0.285953962,
104,2020,CAMPECHE,Población total,Total,10 a 14 años,80168,286880,0.279447853,
105,2020,COAHUILA,Población total,Total,10 a 14 años,268144,982841,0.272825411,
106,2020,COLIMA,Población total,Total,10 a 14 años,60801,209402,0.290355393,
107,2020,CHIAPAS,Población total,Total,10 a 14 años,583132,2093426,0.278553911,
108,2020,CHIHUAHUA,Población total,Total,10 a 14 años,333715,1137537,0.293366282,
109,2020,CIUDAD DE MÉXICO,Población total,Total,10 a 14 años,608962,2033581,0.299453034,
110,2020,DURANGO,Población total,Total,10 a 14 años,170271,612346,0.278063382,
111,2020,GUANAJUATO,Población total,Total,10 a 14 años,549301,1965943,0.279408406,
112,2020,GUERRERO,Población total,Total,10 a 14 años,348493,1237843,0.281532472,
113,2020,HIDALGO,Población total,Total,10 a 14 años,283676,958875,0.295842524,
114,2020,JALISCO,Población total,Total,10 a 14 años,714906,2531145,0.282443716,
115,2020,MÉXICO,Población total,Total,10 a 14 años,1464549,5009259,0.292368392,
116,2020,MICHOACÁN,Población total,Total,10 a 14 años,426869,1544594,0.276363238,
117,2020,MORELOS,Población total,Total,10 a 14 años,164177,568743,0.28866641,
118,2020,NAYARIT,Población total,Total,10 a 14 años,113335,394457,0.287319023,
119,2020,NUEVO LEÓN,Población total,Total,10 a 14 años,462720,1654929,0.279601119,
120,2020,OAXACA,Población total,Total,10 a 14 años,398362,1372915,0.290157803,
121,2020,PUEBLA,Población total,Total,10 a 14 años,603375,2148335,0.280857036,
122,2020,QUERÉTARO,Población total,Total,10 a 14 años,198601,700525,0.283503087,
123,2020,QUINTANA ROO,Población total,Total,10 a 14 años,154281,543728,0.283746653,
124,2020,SAN LUIS POTOSÍ,Población total,Total,10 a 14 años,252780,879923,0.287275137,
125,2020,SINALOA,Población total,Total,10 a 14 años,260172,902580,0.288253673,
126,2020,SONORA,Población total,Total,10 a 14 años,258791,876174,0.295364848,
127,2020,TABASCO,Población total,Total,10 a 14 años,222698,781519,0.284955324,
128,2020,TAMAULIPAS,Población total,Total,10 a 14 años,305853,1046920,0.292145532,
129,2020,TLAXCALA,Población total,Total,10 a 14 años,119718,421140,0.284271264,
130,2020,VERACRUZ,Población total,Total,10 a 14 años,685468,2378935,0.288140702,
131,2020,YUCATÁN,Población total,Total,10 a 14 años,189137,666922,0.283596882,
132,2020,ZACATECAS,Población total,Total,10 a 14 años,151355,544684,0.277876714,
133,2020,NACIONAL,Población total,Total,15 a 17 años,6492674,38247958,0.169752173,
134,2020,AGUASCALIENTES,Población total,Total,15 a 17 años,78140,463335,0.168646875,
135,2020,BAJA CALIFORNIA,Población total,Total,15 a 17 años,183590,1061893,0.172889359,
136,2020,BAJA CALIFORNIA SUR,Población total,Total,15 a 17 años,39576,236629,0.167249154,
137,2020,CAMPECHE,Población total,Total,15 a 17 años,45762,286880,0.159516174,
138,2020,COAHUILA,Población total,Total,15 a 17 años,158561,982841,0.161329249,
139,2020,COLIMA,Población total,Total,15 a 17 años,36239,209402,0.173059474,
140,2020,CHIAPAS,Población total,Total,15 a 17 años,323350,2093426,0.154459723,
141,2020,CHIHUAHUA,Población total,Total,15 a 17 años,195214,1137537,0.171611121,
142,2020,CIUDAD DE MÉXICO,Población total,Total,15 a 17 años,380808,2033581,0.187259814,
143,2020,DURANGO,Población total,Total,15 a 17 años,98442,612346,0.160762053,
144,2020,GUANAJUATO,Población total,Total,15 a 17 años,330251,1965943,0.16798605,
145,2020,GUERRERO,Población total,Total,15 a 17 años,202882,1237843,0.163899622,
146,2020,HIDALGO,Población total,Total,15 a 17 años,167457,958875,0.17463903,
147,2020,JALISCO,Población total,Total,15 a 17 años,427156,2531145,0.168759988,
148,2020,MÉXICO,Población total,Total,15 a 17 años,887192,5009259,0.177110427,
149,2020,MICHOACÁN,Población total,Total,15 a 17 años,246270,1544594,0.159439956,
150,2020,MORELOS,Población total,Total,15 a 17 años,100192,568743,0.176163926,
151,2020,NAYARIT,Población total,Total,15 a 17 años,63579,394457,0.161181067,
152,2020,NUEVO LEÓN,Población total,Total,15 a 17 años,273481,1654929,0.165252407,
153,2020,OAXACA,Población total,Total,15 a 17 años,225941,1372915,0.164570276,
154,2020,PUEBLA,Población total,Total,15 a 17 años,367631,2148335,0.171123684,
155,2020,QUERÉTARO,Población total,Total,15 a 17 años,117062,700525,0.167106099,
156,2020,QUINTANA ROO,Población total,Total,15 a 17 años,86328,543728,0.158770562,
157,2020,SAN LUIS POTOSÍ,Población total,Total,15 a 17 años,153485,879923,0.174430035,
158,2020,SINALOA,Población total,Total,15 a 17 años,155676,902580,0.172478894,
159,2020,SONORA,Población total,Total,15 a 17 años,152327,876174,0.173854737,
160,2020,TABASCO,Población total,Total,15 a 17 años,127886,781519,0.163637736,
161,2020,TAMAULIPAS,Población total,Total,15 a 17 años,175383,1046920,0.167522829,
162,2020,TLAXCALA,Población total,Total,15 a 17 años,73224,421140,0.173870922,
163,2020,VERACRUZ,Población total,Total,15 a 17 años,418032,2378935,0.17572233,
164,2020,YUCATÁN,Población total,Total,15 a 17 años,115677,666922,0.173449069,
165,2020,ZACATECAS,Población total,Total,15 a 17 años,85880,544684,0.157669401,
166,2020,NACIONAL,Población total,Hombre,0 a 17 años,19375373,38247958,0.506572743,
167,2020,AGUASCALIENTES,Población total,Hombre,0 a 17 años,235259,463335,0.507751411,
168,2020,BAJA CALIFORNIA,Población total,Hombre,0 a 17 años,540200,1061893,0.508714155,
169,2020,BAJA CALIFORNIA SUR,Población total,Hombre,0 a 17 años,120324,236629,0.508492197,
170,2020,CAMPECHE,Población total,Hombre,0 a 17 años,145698,286880,0.507870887,
171,2020,COAHUILA,Población total,Hombre,0 a 17 años,499192,982841,0.507907179,
172,2020,COLIMA,Población total,Hombre,0 a 17 años,106584,209402,0.508992273,
173,2020,CHIAPAS,Población total,Hombre,0 a 17 años,1055127,2093426,0.504019249,
174,2020,CHIHUAHUA,Población total,Hombre,0 a 17 años,577776,1137537,0.507918424,
175,2020,CIUDAD DE MÉXICO,Población total,Hombre,0 a 17 años,1032167,2033581,0.507561292,
176,2020,DURANGO,Población total,Hombre,0 a 17 años,311654,612346,0.508950822,
177,2020,GUANAJUATO,Población total,Hombre,0 a 17 años,995676,1965943,0.506462293,
178,2020,GUERRERO,Población total,Hombre,0 a 17 años,624384,1237843,0.504412918,
179,2020,HIDALGO,Población total,Hombre,0 a 17 años,484683,958875,0.505470473,
180,2020,JALISCO,Población total,Hombre,0 a 17 años,1283349,2531145,0.507023106,
181,2020,MÉXICO,Población total,Hombre,0 a 17 años,2533881,5009259,0.505839486,
182,2020,MICHOACÁN,Población total,Hombre,0 a 17 años,780454,1544594,0.505280999,
183,2020,MORELOS,Población total,Hombre,0 a 17 años,288940,568743,0.508032626,
184,2020,NAYARIT,Población total,Hombre,0 a 17 años,200760,394457,0.508952814,
185,2020,NUEVO LEÓN,Población total,Hombre,0 a 17 años,840727,1654929,0.508013939,
186,2020,OAXACA,Población total,Hombre,0 a 17 años,691605,1372915,0.503749322,
187,2020,PUEBLA,Población total,Hombre,0 a 17 años,1086443,2148335,0.50571396,
188,2020,QUERÉTARO,Población total,Hombre,0 a 17 años,354468,700525,0.506003355,
189,2020,QUINTANA ROO,Población total,Hombre,0 a 17 años,275783,543728,0.507207648,
190,2020,SAN LUIS POTOSÍ,Población total,Hombre,0 a 17 años,445079,879923,0.50581585,
191,2020,SINALOA,Población total,Hombre,0 a 17 años,459290,902580,0.50886348,
192,2020,SONORA,Población total,Hombre,0 a 17 años,445690,876174,0.5086775,
193,2020,TABASCO,Población total,Hombre,0 a 17 años,396519,781519,0.507369622,
194,2020,TAMAULIPAS,Población total,Hombre,0 a 17 años,531521,1046920,0.507699729,
195,2020,TLAXCALA,Población total,Hombre,0 a 17 años,213587,421140,0.507163888,
196,2020,VERACRUZ,Población total,Hombre,0 a 17 años,1205365,2378935,0.506682612,
197,2020,YUCATÁN,Población total,Hombre,0 a 17 años,337805,666922,0.506513505,
198,2020,ZACATECAS,Población total,Hombre,0 a 17 años,275383,544684,0.505583054,
199,2020,NACIONAL,Población total,Hombre,0 a 4 años,5077482,10047365,0.505354588,
200,2020,AGUASCALIENTES,Población total,Hombre,0 a 4 años,62978,124430,0.506131962,
201,2020,BAJA CALIFORNIA,Población total,Hombre,0 a 4 años,134410,266301,0.50472961,
202,2020,BAJA CALIFORNIA SUR,Población total,Hombre,0 a 4 años,31479,62455,0.504026899,
203,2020,CAMPECHE,Población total,Hombre,0 a 4 años,39817,78935,0.504427694,
204,2020,COAHUILA,Población total,Hombre,0 a 4 años,141812,279912,0.506630655,
205,2020,COLIMA,Población total,Hombre,0 a 4 años,26532,52313,0.507177948,
206,2020,CHIAPAS,Población total,Hombre,0 a 4 años,288911,574152,0.503196018,
207,2020,CHIHUAHUA,Población total,Hombre,0 a 4 años,147610,291286,0.506752813,
208,2020,CIUDAD DE MÉXICO,Población total,Hombre,0 a 4 años,242877,479904,0.506094969,
209,2020,DURANGO,Población total,Hombre,0 a 4 años,85081,167600,0.507643198,
210,2020,GUANAJUATO,Población total,Hombre,0 a 4 años,272745,538846,0.506165027,
211,2020,GUERRERO,Población total,Hombre,0 a 4 años,169332,335458,0.504778542,
212,2020,HIDALGO,Población total,Hombre,0 a 4 años,120314,238189,0.505119884,
213,2020,JALISCO,Población total,Hombre,0 a 4 años,339122,670983,0.505410718,
214,2020,MÉXICO,Población total,Hombre,0 a 4 años,644777,1276386,0.505158314,
215,2020,MICHOACÁN,Población total,Hombre,0 a 4 años,216825,429837,0.504435402,
216,2020,MORELOS,Población total,Hombre,0 a 4 años,73680,145439,0.506604143,
217,2020,NAYARIT,Población total,Hombre,0 a 4 años,52602,103601,0.507736412,
218,2020,NUEVO LEÓN,Población total,Hombre,0 a 4 años,229807,454909,0.505171364,
219,2020,OAXACA,Población total,Hombre,0 a 4 años,181303,359853,0.503825173,
220,2020,PUEBLA,Población total,Hombre,0 a 4 años,292266,578779,0.504969945,
221,2020,QUERÉTARO,Población total,Hombre,0 a 4 años,94523,187893,0.503068236,
222,2020,QUINTANA ROO,Población total,Hombre,0 a 4 años,75158,147731,0.50874901,
223,2020,SAN LUIS POTOSÍ,Población total,Hombre,0 a 4 años,116331,230931,0.503747873,
224,2020,SINALOA,Población total,Hombre,0 a 4 años,120045,236236,0.508157097,
225,2020,SONORA,Población total,Hombre,0 a 4 años,110604,218345,0.506556138,
226,2020,TABASCO,Población total,Hombre,0 a 4 años,104669,206877,0.505947979,
227,2020,TAMAULIPAS,Población total,Hombre,0 a 4 años,137176,271340,0.505550232,
228,2020,TLAXCALA,Población total,Hombre,0 a 4 años,55685,110460,0.504119138,
229,2020,VERACRUZ,Población total,Hombre,0 a 4 años,303113,600253,0.504975402,
230,2020,YUCATÁN,Población total,Hombre,0 a 4 años,89335,175986,0.507625607,
231,2020,ZACATECAS,Población total,Hombre,0 a 4 años,76563,151745,0.504550397,
232,2020,NACIONAL,Población total,Hombre,5 a 9 años,5453091,10764379,0.506586678,
233,2020,AGUASCALIENTES,Población total,Hombre,5 a 9 años,66359,131048,0.506371711,
234,2020,BAJA CALIFORNIA,Población total,Hombre,5 a 9 años,152609,299654,0.509284041,
235,2020,BAJA CALIFORNIA SUR,Población total,Hombre,5 a 9 años,33962,66933,0.507402925,
236,2020,CAMPECHE,Población total,Hombre,5 a 9 años,41624,82015,0.507516918,
237,2020,COAHUILA,Población total,Hombre,5 a 9 años,140417,276224,0.508344677,
238,2020,COLIMA,Población total,Hombre,5 a 9 años,30646,60049,0.510349881,
239,2020,CHIAPAS,Población total,Hombre,5 a 9 años,308758,612792,0.503854489,
240,2020,CHIHUAHUA,Población total,Hombre,5 a 9 años,161182,317322,0.507944611,
241,2020,CIUDAD DE MÉXICO,Población total,Hombre,5 a 9 años,286280,563907,0.507672364,
242,2020,DURANGO,Población total,Hombre,5 a 9 años,89816,176033,0.510222515,
243,2020,GUANAJUATO,Población total,Hombre,5 a 9 años,277429,547545,0.50667799,
244,2020,GUERRERO,Población total,Hombre,5 a 9 años,177163,351010,0.504723512,
245,2020,HIDALGO,Población total,Hombre,5 a 9 años,136027,269553,0.504639162,
246,2020,JALISCO,Población total,Hombre,5 a 9 años,363911,718100,0.506769252,
247,2020,MÉXICO,Población total,Hombre,5 a 9 años,699573,1381132,0.506521462,
248,2020,MICHOACÁN,Población total,Hombre,5 a 9 años,223382,441618,0.505826302,
249,2020,MORELOS,Población total,Hombre,5 a 9 años,80637,158935,0.507358354,
250,2020,NAYARIT,Población total,Hombre,5 a 9 años,58000,113942,0.50903091,
251,2020,NUEVO LEÓN,Población total,Hombre,5 a 9 años,235679,463819,0.508127093,
252,2020,OAXACA,Población total,Hombre,5 a 9 años,195501,388759,0.502884821,
253,2020,PUEBLA,Población total,Hombre,5 a 9 años,302188,598550,0.504866761,
254,2020,QUERÉTARO,Población total,Hombre,5 a 9 años,99958,196969,0.507480873,
255,2020,QUINTANA ROO,Población total,Hombre,5 a 9 años,78621,155388,0.505965712,
256,2020,SAN LUIS POTOSÍ,Población total,Hombre,5 a 9 años,122972,242727,0.506626786,
257,2020,SINALOA,Población total,Hombre,5 a 9 años,127811,250496,0.5102317,
258,2020,SONORA,Población total,Hombre,5 a 9 años,125202,246711,0.507484466,
259,2020,TABASCO,Población total,Hombre,5 a 9 años,113706,224058,0.507484669,
260,2020,TAMAULIPAS,Población total,Hombre,5 a 9 años,149315,294344,0.507280597,
261,2020,TLAXCALA,Población total,Hombre,5 a 9 años,59685,117738,0.506930643,
262,2020,VERACRUZ,Población total,Hombre,5 a 9 años,342335,675182,0.507026254,
263,2020,YUCATÁN,Población total,Hombre,5 a 9 años,93902,186122,0.504518542,
264,2020,ZACATECAS,Población total,Hombre,5 a 9 años,78441,155704,0.503782819,
265,2020,NACIONAL,Población total,Hombre,10 a 14 años,5554260,10943540,0.50753778,
266,2020,AGUASCALIENTES,Población total,Hombre,10 a 14 años,66080,129717,0.509416653,
267,2020,BAJA CALIFORNIA,Población total,Hombre,10 a 14 años,159306,312348,0.510027277,
268,2020,BAJA CALIFORNIA SUR,Población total,Hombre,10 a 14 años,34455,67665,0.509199734,
269,2020,CAMPECHE,Población total,Hombre,10 a 14 años,41047,80168,0.512012274,
270,2020,COAHUILA,Población total,Hombre,10 a 14 años,136301,268144,0.508312698,
271,2020,COLIMA,Población total,Hombre,10 a 14 años,30952,60801,0.509070574,
272,2020,CHIAPAS,Población total,Hombre,10 a 14 años,295114,583132,0.506084386,
273,2020,CHIHUAHUA,Población total,Hombre,10 a 14 años,169615,333715,0.508263039,
274,2020,CIUDAD DE MÉXICO,Población total,Hombre,10 a 14 años,309140,608962,0.507650724,
275,2020,DURANGO,Población total,Hombre,10 a 14 años,86764,170271,0.509564165,
276,2020,GUANAJUATO,Población total,Hombre,10 a 14 años,278676,549301,0.507328405,
277,2020,GUERRERO,Población total,Hombre,10 a 14 años,176233,348493,0.505700258,
278,2020,HIDALGO,Población total,Hombre,10 a 14 años,143492,283676,0.505830595,
279,2020,JALISCO,Población total,Hombre,10 a 14 años,364020,714906,0.509185823,
280,2020,MÉXICO,Población total,Hombre,10 a 14 años,740376,1464549,0.505531737,
281,2020,MICHOACÁN,Población total,Hombre,10 a 14 años,215932,426869,0.505850741,
282,2020,MORELOS,Población total,Hombre,10 a 14 años,83391,164177,0.507933511,
283,2020,NAYARIT,Población total,Hombre,10 a 14 años,57726,113335,0.509339569,
284,2020,NUEVO LEÓN,Población total,Hombre,10 a 14 años,235404,462720,0.508739627,
285,2020,OAXACA,Población total,Hombre,10 a 14 años,201586,398362,0.506037222,
286,2020,PUEBLA,Población total,Hombre,10 a 14 años,305853,603375,0.506903667,
287,2020,QUERÉTARO,Población total,Hombre,10 a 14 años,100847,198601,0.50778697,
288,2020,QUINTANA ROO,Población total,Hombre,10 a 14 años,78464,154281,0.508578503,
289,2020,SAN LUIS POTOSÍ,Población total,Hombre,10 a 14 años,128254,252780,0.507374001,
290,2020,SINALOA,Población total,Hombre,10 a 14 años,132511,260172,0.509320757,
291,2020,SONORA,Población total,Hombre,10 a 14 años,132191,258791,0.510802153,
292,2020,TABASCO,Población total,Hombre,10 a 14 años,113492,222698,0.509622897,
293,2020,TAMAULIPAS,Población total,Hombre,10 a 14 años,155866,305853,0.509610826,
294,2020,TLAXCALA,Población total,Hombre,10 a 14 años,60747,119718,0.507417431,
295,2020,VERACRUZ,Población total,Hombre,10 a 14 años,347680,685468,0.507215508,
296,2020,YUCATÁN,Población total,Hombre,10 a 14 años,95833,189137,0.50668563,
297,2020,ZACATECAS,Población total,Hombre,10 a 14 años,76912,151355,0.508156321,
298,2020,NACIONAL,Población total,Hombre,15 a 17 años,3290540,6492674,0.506808135,
299,2020,AGUASCALIENTES,Población total,Hombre,15 a 17 años,39842,78140,0.509879703,
300,2020,BAJA CALIFORNIA,Población total,Hombre,15 a 17 años,93875,183590,0.511329593,
301,2020,BAJA CALIFORNIA SUR,Población total,Hombre,15 a 17 años,20428,39576,0.516171417,
302,2020,CAMPECHE,Población total,Hombre,15 a 17 años,23210,45762,0.507189371,
303,2020,COAHUILA,Población total,Hombre,15 a 17 años,80662,158561,0.508712735,
304,2020,COLIMA,Población total,Hombre,15 a 17 años,18454,36239,0.509230387,
305,2020,CHIAPAS,Población total,Hombre,15 a 17 años,162344,323350,0.502068966,
306,2020,CHIHUAHUA,Población total,Hombre,15 a 17 años,99369,195214,0.509025992,
307,2020,CIUDAD DE MÉXICO,Población total,Hombre,15 a 17 años,193870,380808,0.5091017,
308,2020,DURANGO,Población total,Hombre,15 a 17 años,49993,98442,0.507842181,
309,2020,GUANAJUATO,Población total,Hombre,15 a 17 años,166826,330251,0.505149114,
310,2020,GUERRERO,Población total,Hombre,15 a 17 años,101656,202882,0.501059729,
311,2020,HIDALGO,Población total,Hombre,15 a 17 años,84850,167457,0.506697242,
312,2020,JALISCO,Población total,Hombre,15 a 17 años,216296,427156,0.506363015,
313,2020,MÉXICO,Población total,Hombre,15 a 17 años,449155,887192,0.506265836,
314,2020,MICHOACÁN,Población total,Hombre,15 a 17 años,124315,246270,0.504791489,
315,2020,MORELOS,Población total,Hombre,15 a 17 años,51232,100192,0.511338231,
316,2020,NAYARIT,Población total,Hombre,15 a 17 años,32432,63579,0.510105538,
317,2020,NUEVO LEÓN,Población total,Hombre,15 a 17 años,139837,273481,0.511322542,
318,2020,OAXACA,Población total,Hombre,15 a 17 años,113215,225941,0.501082141,
319,2020,PUEBLA,Población total,Hombre,15 a 17 años,186136,367631,0.506312036,
320,2020,QUERÉTARO,Población total,Hombre,15 a 17 años,59140,117062,0.505202371,
321,2020,QUINTANA ROO,Población total,Hombre,15 a 17 años,43540,86328,0.504355481,
322,2020,SAN LUIS POTOSÍ,Población total,Hombre,15 a 17 años,77522,153485,0.505078672,
323,2020,SINALOA,Población total,Hombre,15 a 17 años,78923,155676,0.506969604,
